,Content_Lemmatized_Sentiment_Analysis,sentiment_rating,label
52,bengaluru sept reuters indian share ended lower seventh straight session thursday dragged tech stock ahead central bank policy outcome friday amid lingering fear char,-0.3612,Negative
53,london sept reuters rising interest rate rapidly appreciating currency exporting u inflation problem threaten send rest global economy recession ot char,-0.296,Negative
54,melbourne sept reuters oil price rose modestly early trade monday sliding eightmonth low last week weighed surging u dollar fear sharp interest rate hike char,-0.3182,Negative
55,sept reuters brazilian economy minister paulo guedes said monday country need fear recession abroad stronger dollar arguing latin america largest economy char,-0.7506,Negative
56,sept reuters wall street future fell monday ratesensitive technology growth stock leading decline investor worried another massive interest rate hike feder char,0.5267,Positive
57,london sept reuters downturn business activity across euro zone deepened september according survey showed economy likely entering recession consumer rei char,-0.4215,Negative
58,berlin sept reuters german economy heading recession ifo institute said monday reported drop business morale seen since early stage covid pan char,-0.5994,Negative
59,london oct reuters british consumer spending grew last month rate lagged behind inflation long way according survey tuesday underlined risk recession char,-0.7269,Negative
60,bogota oct reuters consumer choose drinking coffee home cafe restaurant due rising inflation risk recession coming month executive director inter char,-0.5994,Negative
61,oct reuters six biggest u bank expected set aside nearly billion third quarter cover future loan loss wall street analyst said lender brace potentia char,-0.3182,Negative
62,singapore oct reuters oil price fell third straight session wednesday investor fretted hit fuel demand growing risk global recession tightening covid char,-0.4215,Negative
63,berlin oct reuters germany economy fall recession shrinking compared growth previously forecast thanks economic war russia president vladimir pu char,-0.5106,Negative
64,singapore sept reuters singapore temasek holding temul said market valuation yet priced global economic recession said state investor waiting fur char,-0.4215,Negative
65,washington sept reuters world may edging toward global recession central bank across world simultaneously hike interest rate combat persistent inflation world bank char,-0.296,Negative
66,frankfurt sept reuters euro zone economic slowdown possibly recession enough control inflation european central bank keep raising interest ra char,0.0516,Positive
67,sept reuters federal reserve need bring unacceptably high inflation cause jobless rate rise recession inevitable boston fed president susan collins said char,-0.4215,Negative
68,sept reuters major stock market gulf rose early trade wednesday course extend gain previous session shrugging fear global recession central ban char,-0.6705,Negative
69,washington sept reuters sale new u singlefamily home unexpectedly increased august rebound likely temporary year fixed mortgage rate soaring level la char,0.2732,Positive
70,sept reuters u energy firm week added oil natural gas rig third week row growth third quarter slowed due recession fear nagging supply shortage char,-0.6124,Negative
71,washington oct reuters international monetary fund next week downgrade forecast global growth managing director kristalina georgieva said thursday citing ri char,0.3818,Positive
72,berlin oct reuters data friday showed inflation tightening stranglehold german economy surge import price fall industrial output retail sale adding sign char,0.0,Positive
73,washington oct reuters dropping job vacancy dip rental cost sign growing consumer caution may bolster federal reserve hope still slow u economy infl char,0.5574,Positive
74,washington oct reuters world bank president david malpass international monetary fund managing director kristalina georgieva warned monday growing risk global recession sai char,-0.6486,Negative
75,london oct reuters portfolio investor encouraged return oil market early last week prospect production cut opec ally offset bearishness ind char,0.3818,Positive
76,sydney oct reuters australian economy likely avoid recession despite world economy dangerous place right treasurer jim chalmers said tuesday ahead char,-0.2373,Negative
77,jakarta oct reuters indonesian president joko widodo said order administration run stress test determine whether southeast asia largest economy could withstand significa char,-0.4215,Negative
78,londonparis sept reuters europe felt chill soaring energy price monday france saying could foot extra cost consumer britain face rising ri char,0.2732,Positive
79,barcelona sept reuters european customer reluctant place order next year due worry recession spurring fall demand head aluminium bahrain alba albhb char,-0.802,Negative
80,sept reuters month ago investor worried federal reserve fighting inflation aggressively enough several jumbo rate hike later fear fed plunge econom char,-0.8481,Negative
81,sept reuters global economy could avert recession data point potential soft landing jp morgan analyst said adding federal reserve might overreacted w char,-0.6597,Negative
82,bengaluru sept reuters indian share opened higher thursday six consecutive session loss boosted gain metal auto company investor eyeing support cent char,0.8176,Positive
83,oct reuters u stock index future fell wednesday ahead key economic data rising treasury yield spurred selling megacap growth stock recession fear aggressive centrum char,-0.4939,Negative
84,sydney sept reuters asian share friday headed worst month since onset covid pandemic jitter currency bond market persisted hawkish talk fro char,-0.4404,Negative
85,frankfurt sept reuters commerzbanks cbkgde top executive told employee friday next three month hardest year bank recession germany wa char,-0.25,Negative
86,posted international monetary fund next week downgrade forecast global growth managing director kristalina georgieva said thursday citing rising risk recessio char,0.128,Positive
87,sept reuters oil production cut organization petroleum exporting country ally vital break negative momentum price amid recession fear stronger dol char,-0.7906,Negative
88,sept reuters europe stoxx index rose tuesday led automaker material stock threeday selloff triggered fear global recession italian payment group n char,-0.7184,Negative
89,singapore oct reuters singapore economy expected expanded slower pace third quarter underlining central bank challenge balance urgency tackling char,0.0772,Positive
90,oct reuters u president joe biden said interview released tuesday think would recession happened would slight dont char,-0.4215,Negative
91,billionaire real estate investor barry sternlicht think fed need slow interest rate hike trajectory economy show sign pressing hard brake fed keep thi char,0.3818,Positive
92,yield twoyear treasury bond pushed past year yield mark deepest inversion two note year thursday fresh inflation data bet rate hike char,0.4767,Positive
93,federal reserve risk raising rate high central banker likely ignore falling inflation data see slowdown labor market according bank strategist char,-0.6369,Negative
94,billionaire investor stanley druckenmiller anticipates world largest economy contract next year back federal reserve effort clamp high inflation central char,0.0,Positive
95,advanced economy need change course monetary policy central bank tightening could sparking global recession according united nation trade group excessive monetary tig char,0.25,Positive
96,ceo worldwide bracing contraction economic activity expect take related hit profitability confidence growth longerterm horizon improving accordi char,0.8689,Positive
97,nouriel roubini sounding alarm inflationdriven recession hit u economy big way according interview bloomberg going short shal char,-0.6369,Negative
98,recession horizon wouldnt severe crash long federal reserve avoid policy mistake u take necessary step avoid steep downturn accor char,-0.6319,Negative
99,federal reserve look le capable sticking soft landing global economy flashing warning could enter earnings recession within next month according analyst f char,-0.3818,Negative
100,washington sept reuters u economic activity slowed august productionrelated measure slipped employment indicator rose moderately data federal reserve bank chicago char,0.0,Positive
101,london sept reuters u economic data remains strong range financial indicator point sharp slowdown next year would dampen oil consumption lead lower pric char,0.2732,Positive
102,brasilia sept reuters economic activity brazil rose much higher expected july central bank index showed thursday reinforcing forecast robust expansion year char,0.34,Positive
103,oct reuters u stock index future fell tuesday technology share leading selloff worry impact aggressive rate hike escalating russiaukraine war china r char,-0.7351,Negative
104,berlin sept reuters downturn german business activity deepened september preliminary survey showed friday higher energy cost hit europe largest economy company sa char,0.2732,Positive
105,paris oct reuters france economy likely grew third quarter compared previous three month country central bank said monthly economic outlook monday char,0.0,Positive
106,beijing sept reuters china speed fund injection start project construction soon possible state planner national development reform commission ndrc said news char,0.0,Positive
107,paris sept reuters global economic growth slowing forecast month ago wake russia invasion ukraine energy inflation crisis risk snowballing char,-0.3612,Negative
108,launceston australia oct reuters amid volatility commodity market iron ore relatively stable past two month despite cloudy economic outlook top importer ch char,0.4588,Positive
109,happy friday reader im phil rosen today september mean day market watcher ive spoken week arent upbeat going homestre char,0.5719,Positive
110,moscow sept reuters russia ratecutting cycle reuters poll suggested friday analyst expecting central bank keep key rate unchanged char,0.0,Positive
111,end first day goldman sachs communacopia technology conference met one oldest best source bar palace hotel san francisco shitty char,0.1531,Positive
112,economy pretty well right thats big problem despite soaring interest rate skyhigh inflation outlook thats worsening week u economy keep adding jo char,-0.4367,Negative
113,sept reuters british recruiting firm sthree plc stemsl forecast higherthanexpected annual profit tuesday helped continued demand hiring science technology related char,0.34,Positive
114,data show southern indian state outperform rest country health education economic opportunity consequence phenomenon nilakantan r data scien char,0.4215,Positive
115,wharton professor jeremy siegel disturbed apparent lack diversity thought federal reserve could lead big market problem road siegel shy v char,-0.8225,Negative
116,federal reserve look le capable sticking soft landing global economy flashing warning could enter earnings recession within next month according analyst f char,-0.3818,Negative
117,fast federal reserve raised interest rate could exact opposite cut rate according jpmorgan thats deep economic recession materializes char,-0.2263,Negative
118,london oct reuters british business last month suffered sharpest contraction activity since early last year although downturn little le severe first estimated sur char,-0.6728,Negative
119,oct reuters jpmorgan chase amp co jpmn chief executive jamie dimon said monday united state global economy could tip recession middle next year cnbc char,0.0,Positive
120,sept reuters global growth heading increasingly synchronous downturn economist barclays said thursday citing deepening energy crisis europe continued lockdown ch char,-0.1027,Negative
121,oct reuters investor pulled billion hedge fund second quarter spooked inflation geopolitical tension war ukraine according report data prov char,-0.7351,Negative
122,sign debt crisis already started taking shape hard landing economy end year baseline scenario according top economist nouriel roub char,-0.7351,Negative
123,istanbul sept reuters turkey central bank delivered another surprise interest rate cut thursday point sending lira alltime low even inflation rose char,0.2263,Positive
124,data suggests global economy already moderate slowdown odds severe recession climbing present downside risk equity year ahead according ned char,-0.8176,Negative
125,turkey lira fell record low u dollar thursday country central bank cut interest rate despite soaring inflation lira hit record low versus doll char,-0.3182,Negative
126,mumbai sept reuters indian bank likely see basis point fall gross nonperforming asset npa fiscal year march improve end march char,0.3182,Positive
127,london oct reuters british company downbeat outlook profit since depth covid pandemic late despite widespread plan raise price char,0.4404,Positive
128,tokyo oct reuters oil jumped monday opec considers cut output week asia share mixed holiday asiapacific region likely result thin trading u char,0.4215,Positive
129,london oct reuters manufacturing activity across euro zone declined last month growing cost living crisis kept consumer wary soaring energy bill limited production char,-0.4939,Negative
130,sept reuters look day ahead asian market jamie mcgeever another day another surge u bond yield another selloff global market top asian market char,0.2023,Positive
131,stanley druckenmiller ray dalio there growing chorus wall street think stock market embark lost decade return virtually flat similar th char,-0.1531,Negative
132,u economy set suffer painful housingmarket downturn material drop export likely mean federal reserve already done enough conquer inflation paul krugman char,-0.8176,Negative
133,sept reuters central bank hike interest rate pace seen decade control inflation alarm among bond investor looming recession risk spreading fast week char,-0.5859,Negative
134,orlando fla sept reuters whiplash wall street following latest u inflation figure warning investor get used plenty char,-0.34,Negative
135,oct reuters international monetary fund warned tuesday disorderly repricing market saying global financial stability risk increased raising potential contagion char,-0.6249,Negative
136,likely u inflation start cool soon imbalance labor market still need fixed federal reserve succeed goal according top goldman sachs strate char,0.743,Positive
137,bengaluru sept reuters rising interest rate present significant barrier world transition net zero emission despite high level investment green energy neede char,0.6597,Positive
138,september clock ticking eight harvest away european union aim made big inroad cutting greenhouse gas emission agriculture transforming toda char,-0.128,Negative
139,depending ask us battle inflation either going swimmingly dragging economy recession policymakers federal reserve made clear recent week char,-0.4215,Negative
140,october topic environmental crime typically conjures image illegal dumping pollutant taking endangered specie department justice doj char,-0.7184,Negative
141,year u treasury yield surged highest level decade monday one day ahead federal reserve fomc meeting year yield hit high rising much char,0.2023,Positive
142,jpmorgans marko kolanovic steadfast bull throughout stock market decline year big risk forming cant ignore friday note admi char,0.2523,Positive
143,billionaire investor jeff gundlach belief time investor become bearish u stock given risk deflation next year increasing doubleline capital ceo whose nickname char,-0.2732,Negative
144,welcome back reader im phil rosen may read recent comparison europe energy crisis lehman brother collapse two expert told weekend analogy char,-0.4939,Negative
145,new york oct reuters goldman sachs boosted thirdquarter gdp growth estimate full percentage point wednesday series economic indicator exceeded expe char,0.6249,Positive
146,sept reuters u highyield corporate debt market may underpricing risk recession even treasury macroeconomic indicator reflect rising growth fear may char,-0.7351,Negative
147,mumbai sept reuters pace interest rate increase calibrated ensure economic recovery india stall central bank try bring inflation char,0.7269,Positive
148,berlin oct reuters germany service sector shrank september slightly initially expected inflation growing uncertainty hit demand survey showed wednesday adding char,-0.296,Negative
149,tokyo oct reuters japan manufacturing activity grew slowest pace since start last year september slide output new order intensified due weakening demand char,-0.4215,Negative
150,shanghai sept reuters china kept benchmark lending rate unchanged monthly fixing tuesday expected authority appeared hold immediate monetary easing following rap char,0.3182,Positive
151,new yorklondon sept reuters scale speed selloff british asset jolted world market raising concern contagion chaos major developed economy add unea char,-0.6369,Negative
152,beijing sept reuters china exporter last reliable pillar world secondlargest economy struggled pandemic weak consumption property crisis warning char,-0.8957,Negative
153,frankfurt sept reuters euro zone inflation zoomed past forecast hit september new record high reinforce expectation another jumbo interest rate hike next month char,0.4588,Positive
154,bengaluru sept reuters india retail inflation accelerated yearonyear august driven surge food price adding pressure central bank hike interest rate char,0.2023,Positive
155,londontokyo sept reuters japan intervened foreign exchange market thursday first time since shore battered yen wake central bank decision char,0.0,Positive
156,london sept reuters britain deputy finance minister saturday played historic collapse pound government bond response country new economic growth plan whic char,0.2023,Positive
157,mumbai sept reuters indian rupee expected open higher u currency bank england decision buy longdated british bond prompted pullback treasury char,0.2023,Positive
158,hong kong oct reuters china finance ministry said thursday issue additional billion yuan million worth yuandenominated sovereign bond hong kong oc char,0.2263,Positive
159,insider expert choose best product service help make smart decision money here case receive commission partner however opinion char,0.8625,Positive
160,twoyear treasury yield touched highest level year friday aggressive move federal reserve send bond yield soaring twoyear treasury highly sensitive char,0.25,Positive
161,china steadily trimmed holding u government debt year moved bond offshore tax haven could protected future sanction according report char,0.1027,Positive
162,madrid oct reuters spain plan issue net billion euro billion worth bond billion euro le plan issue according budget draft release char,0.2263,Positive
163,u stock finished lower thursday sampp sliding twomonth low session treasury yield continued climb following federal reserve latest interest rate increa char,0.128,Positive
164,new york sept reuters expectation aggressively federal reserve raise rate fight inflation hit fresh high week exacerbating pressure stock bon char,-0.5859,Negative
165,new york sept reuters week heavy selling rocked u stock bond many investor bracing pain ahead wall street bank adjusting forecast account char,-0.5106,Negative
166,u stock finished lower tuesday investor anxiously await interest rate guidance federal reserve policy meeting stock pressure anticipated basispoint rate hik char,-0.2263,Negative
167,new york sept reuters china increased holding treasury july first time eight month japan reduced u government debt load data u treasury dep char,0.296,Positive
168,u stock tumbled thursday major index pace give much prior session gain likely notch worstperforming month since june bond yield headed back u char,0.5267,Positive
169,london sept reuters price falling like stone central bank tightening go overdrive buying bond may appear confused perhaps confusion good enough reason char,0.0772,Positive
170,new york sept reuters week heavy selling brought u stock bond fresh bear market low many investor bracing pain ahead across wall street bank scra char,-0.4767,Negative
171,new york sept reuters expectation hawkish federal reserve pushing investor revise much bond yield rise potentially unwelcome development alread char,-0.4019,Negative
172,happy friday reader im phil rosen today september mean day market watcher ive spoken week arent upbeat going homestre char,0.5719,Positive
173,investor placed bid billion russian bond monday creditdefault swap auction according wall street journal u treasury allows trading one week allow buyer char,0.4019,Positive
174,sept reuters foreigner net purchaser emerging asia exchina bond second successive month august although buying measured concern soaring inflation exp char,0.2732,Positive
175,u stock fell wednesday following sharp gain previous two session fourthquarter trading got underway investor assessing privatesector hiring data came expectation char,0.5267,Positive
176,u stock soared monday kicking new quarter near gain three major market index dow jones surged point gain came amid slide u dolla char,0.7783,Positive
177,sept reuters u company best credit rating looking shorterterm debt solution bridge better funding environment year two slowing new bond issuance char,0.8591,Positive
178,new york oct reuters government bond price around world moving tandem reducing investor ability diversify portfolio raising concern blindsided market g char,0.3182,Positive
179,oct reuters global bond fund saw biggest outflow two decade first three quarter year hefty interest rate increase central bank tame inflation sparked fear char,0.2732,Positive
180,insider expert choose best product service help make smart decision money here case receive commission partner however opinion char,0.8625,Positive
181,u stock ended monday lower amid turmoil stemming reaction uk new budget plan includes steepest tax cut decade led fear worsening inflation char,-0.9001,Negative
182,hong kong sept reuters asian market attempted stabilise tuesday wild day stumbling stock crumbling bond plunging pound soaring dollar dollar easing char,0.25,Positive
183,spike higher treasury yield holding sway stock foreign exchange said economist mohamed elerian see move rooted investor fearing federal reserve go f char,-0.4404,Negative
184,washington sept reuters u security exchange commission sec scheduled wednesday propose draft rule boost resilience trillion treasury market wor char,0.7096,Positive
185,hong kong oct reuters asian stockmarkets fell dollar rose tuesday investor worried rising interest rate escalation ukraine war treasury yield lea char,-0.3182,Negative
186,mumbai sept reuters indian rupee tipped extend decline new record low friday back treasury yield climbing fresh multiyear high dollar demand im char,0.296,Positive
187,singapore sept reuters pound languished near record low wednesday lingering concern britain radical tax cut spur growth dollar edged treasury yield char,0.0516,Positive
188,london oct reuters mechanic year interest rate shock investment industry could yet double demand longterm bond roundabout somewhat counterintuitive wa char,-0.0258,Negative
189,bond market volatility hit level seen great financial crisis volatility starting bleed stock market according ned davis research tuesday note char,0.0,Positive
190,london sept reuters bank england said wednesday would start temporary programme bond purchase stabilise market postpone planned start gilt sale progr char,-0.2263,Negative
191,new york sept reuters benchmark year u treasury yield jumped highest level since monday investor adjusted likelihood federal reserve hike rat char,0.2023,Positive
192,new york sept reuters alreadymurky outlook u stock bond growing darker sizzling inflation ratchet expectation aggressively federal reserve need char,-0.1531,Negative
193,new york sept reuters tough year market leading investor seek refuge cash capitalize higher interest rate await chance buy stock bond cheape char,0.5994,Positive
194,new york sept reuters federal reserve deadset fighting inflation leaving little hope year rocky market end anytime soon policymakers signal rate rise faster char,0.0276,Positive
195,london sept reuters new british finance minister kwasi kwarteng detail close billion pound billion tax cut energy subsidy planning reform friday part char,0.0,Positive
196,london sept reuters britain bond market suffered biggest daily fall decade friday expected slump investor choked prospect hundred billion char,-0.6249,Negative
197,london sept reuters perhaps remarkably world major economy still hold least part rainyday saving sterling british government bond raising question ab char,0.0,Positive
198,london oct reuters bank england said tuesday would buy indexlinked government debt part emergency programme try quell turmoil debt market following char,-0.8442,Negative
199,bucharest oct reuters romania reduce foreign debt issuance target next year tap eu fund low interest rate loan lower budget deficit reduce overall n char,-0.6705,Negative
200,yield twoyear treasury bond pushed past year yield mark deepest inversion two note year thursday fresh inflation data bet rate hike char,0.4767,Positive
201,u stock opened higher tuesday building monday strong rally investor hope end monetary tightening may sight dow jones industrial average opened nearly poin char,0.7351,Positive
202,federal reserve lost credibility leaving u risk considerable economic pain according mohamed elerian economist warned wednesday fed failure char,-0.9022,Negative
203,u stock fell tuesday investor eyed beginning latest central bank policy meeting could spur market fallout meeting concludes wednesday wall street anticipa char,0.0,Positive
204,london oct reuters british government expected reverse proposed scrapping highest rate income tax sparked backlash governing conservative party b char,0.4019,Positive
205,japanese prime minister fumio kishida interview financial time published tuesday said support bank japan loose monetary policy stance despite yen sliding twodec char,0.1027,Positive
206,michael saylor cofounder microstrategy said bitcoin offer nonsovereign store value policymakers bank england scramble stabilize financial market bondbuying char,0.34,Positive
207,u stock edged higher monday slight move upward wall street major index starting week fill earnings report corporate america monthly look char,0.0,Positive
208,investor need brace unsettling volatility sampp could head back june low top economist mohamed elerian said warning upcoming turbulence stock th char,-0.4019,Negative
209,sept reuters russian rouble surged new multiweek high friday stock fell volatile trade moscow mobilises extra troop conflict ukraine despite char,-0.3182,Negative
210,siena italy sept reuters shareholder monte dei paschi di siena mp bmpsmi meeting thursday approve selling new share billion euro billion char,0.296,Positive
211,insider expert choose best product service help make smart decision money here case receive commission partner however opinion char,0.8625,Positive
212,unraveling bond market continue batter stock coming month according friday note bank america bond experiencing worst decline since int char,-0.6249,Negative
213,u stock mixed thursday morning struggling recover wednesday session snapped two day strong gain major index investor mulling latest weekly jobless cla char,0.5994,Positive
214,sydney sept reuters asian share tumbled dollar held firm u yield curve deeply inverted wednesday whitehot u inflation report dashed hope peak infla char,0.6249,Positive
215,london sept reuters rockbottom investor confidence britain recover uturn economic plan announced last week finance minister kwasi kwarteng u economist larr char,0.5106,Positive
216,sept reuters u bond fund witnessed massive outflow week sept investor girded rate hike federal reserve control stubborn inflation read char,-0.4019,Negative
217,look day ahead u global market mike dolan hurricane ian raged set sight cuba florida global financial storm bond currency market calmed modera char,-0.1027,Negative
218,look day ahead u global market mike dolan final quarter unremittingly dire year world market hoves view stock bond cratered new lo char,-0.4588,Negative
219,u stock closed sharply higher tuesday extending early gain capping best twoday upward swing wall street since trader increased bet dovish pivot federal reser char,0.8658,Positive
220,u stock dropped monday ahead federal reserve twoday meeting begin tuesday dip continuation friday selloff index capped worst fiveday stretch char,-0.6249,Negative
221,u stock erased premarket gain tumbled friday following strongerthanexpected september job report u economy added job september ahead consensus expectation char,0.5267,Positive
222,bank england said trillion uk pension fund investment couldve lost didnt intervene emergency bond purchasing program last week wake turmoil stemming fr char,-0.3851,Negative
223,south korea government take step boost supply u dollar local currency market won dismal performance year drive uncertainty country economy g char,0.0,Positive
224,last decade big argument buying stock fact interest rate rock bottom leaving alternative investor alternative tina char,0.128,Positive
225,new york sept reuters vanguard world secondlargest asset manager belief u treasury near end painful decline even price tumble fresh multiyear low senio char,0.1531,Positive
226,istanbul sept reuters turkish bank curtailing corporate lending government latest raft regulation raised cost forced many cut balance sheet risk char,-0.7351,Negative
227,new yorklondon sept reuters global investor preparing market mayhem monumental week whipsawed asset price around world central bank government rampe char,0.3612,Positive
228,londonnew york oct reuters call bank england saying british pension fund struggling meet margin call began monday wednesday getting urgent char,-0.25,Negative
229,look day ahead u global market mike dolan reining inflation expectation u federal reserve main task count latest survey tactical victor char,0.0,Positive
230,romemilan oct reuters italy favour keeping anima holding animmi domestic hand could raise stake country biggest independent asset manager hold nationa char,0.8225,Positive
231,tokyo sept reuters stock asia sank bond yield elevated wednesday investor braced another aggressive interest rate hike u federal reserve later day char,0.34,Positive
232,u dollar sank twoweek low japanese yen thursday japan dumped dollar defend battered currency yen gain unlikely last long federal reserve char,-0.1027,Negative
233,u stock surged monday uk government walked back part controversial tax cut plan sparked steep decline british pound last month uk finance minister kwasi kwarteng char,-0.4404,Negative
234,u stock closed mixed tuesday sampp hitting new low intraday broad index dow jones industrial average fell sixth day row trading sess char,-0.2732,Negative
235,u stock plunged friday strongerthanexpected september job report solidified another outsized interest rate hike federal reserve november u economy added char,0.4588,Positive
236,u stock closed sharply lower whiplashed trading session wednesday federal reserve chairman jerome powell hiked interest rate basis point signaled increase char,0.4767,Positive
237,good morning team im phil rosen longawaited ethereum merge event expert say ramp energy efficiency blockchain finalized cofounder vitalik buterin char,0.7579,Positive
238,orlando fla oct reuters apparent rundown global foreign exchange reserve year mirage related u dollar strength real thing may yet materialize pack char,0.4939,Positive
239,sept reuters u bond fund witnessed huge outflow week sept caution pace length u interest rate increase crept ahead federal reserve policy char,0.765,Positive
240,moscow sept reuters rouble recovered two month low russian stock pared loss wednesday earlier plunge triggered president vladimir putin move order russia char,-0.5267,Negative
