,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': 'reuters', 'name': 'Reuters'}",,"BIS backs ""forceful"" rate hikes despite rising recession risk - Reuters","The world's central bank umbrella body, the Bank for International Settlements (BIS), has urged major economies to forge ahead with forceful interest rate hikes despite the growing threat of recessions and currency market volatility.",https://www.reuters.com/markets/europe/global-markets-bis-urgent-2022-09-19/,https://www.reuters.com/resizer/mtjwD8tUXr9yt_2zvhFgLA8poxc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/YDXUHLFUPRP4RNSFLEWADBZOR4.jpg,2022-09-19T13:02:00Z,"LONDON, Sept 19 (Reuters) - The world's central bank umbrella body, the Bank for International Settlements (BIS), has urged major economies to forge ahead with forceful interest rate hikes despite th… [+3085 chars]"
11,"{'id': 'reuters', 'name': 'Reuters'}",,Most Gulf bourses drop on recession fears - Reuters,"Most stock markets in the Gulf extended losses on Thursday, after the Federal Reserve sharply hiked U.S. interest rates and projected raising them further and faster than investors had expected in order to tame inflation.",https://www.reuters.com/world/middle-east/most-gulf-bourses-drop-recession-fears-2022-09-22/,https://www.reuters.com/resizer/MyQoXqb9dWpL6iKgAwg0WFlRbOo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FY4LMVEFAZMQTGMQWUH7KNJFGE.jpg,2022-09-22T13:17:00Z,"Sept 22 (Reuters) - Most stock markets in the Gulf extended losses on Thursday, after the Federal Reserve sharply hiked U.S. interest rates and projected raising them further and faster than investor… [+1856 chars]"
12,"{'id': 'reuters', 'name': 'Reuters'}",,"UK downturn deepens, raising recession risk -flash PMI - Reuters UK","The downturn in British businesses steepened this month as they battled soaring costs and faltering demand, according to a survey on Friday that hammered home the rising risk of recession.",https://www.reuters.com/world/uk/uk-downturn-deepens-raising-recession-risk-flash-pmi-2022-09-23/,https://www.reuters.com/resizer/Gx7aXWuja7HuoI17GBoI5n8Xl0A=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RSKZJ3QKOBMUXMRH64T3IGV5QE.jpg,2022-09-23T08:36:00Z,"LONDON, Sept 23 (Reuters) - The downturn in British businesses steepened this month as they battled soaring costs and faltering demand, according to a survey on Friday that hammered home the rising r… [+2358 chars]"
13,"{'id': 'reuters', 'name': 'Reuters'}",,"Asia markets spooked by recession risks, dollar climbs - Reuters","Asian share markets slid on Wednesday as surging borrowing costs fed fears of a global recession, spooking investors into the arms of the safe-haven dollar and driving the Chinese yuan to record lows.",https://www.reuters.com/markets/europe/global-markets-wrapup-1-pix-2022-09-28/,https://www.reuters.com/resizer/MwwIEz3I3DZej4lbW7IIS7t70eg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OO5LT6YCHRKQHKS5JJIBQQV3FU.jpg,2022-09-28T02:31:00Z,"SYDNEY, Sept 28 (Reuters) - Asian share markets slid on Wednesday as surging borrowing costs fed fears of a global recession, spooking investors into the arms of the safe-haven dollar and driving the… [+3570 chars]"
14,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Stocks slide as global recession fears mount - Reuters.com,European shares slid on Friday (September 16) as recession warnings from two major global financial institutions and bets of a large interest rate hike from the U.S. Federal Reserve next week knocked down sentiment. Julian Satterthwaite reports.,https://www.reuters.com/video/watch/idOV582116092022RP1,https://static.reuters.com/resources/r/?d=20220916&i=OV582116092022RP1&r=OV582116092022RP1&t=2,2022-09-16T12:05:22Z,"Posted 
European shares slid on Friday (September 16) as recession warnings from two major global financial institutions and bets of a large interest rate hike from the U.S. Federal Reserve next wee… [+54 chars]"
15,"{'id': 'reuters', 'name': 'Reuters'}",,Column: Oil investors ready for recession: Kemp - Reuters,Portfolio investors continued to flee from the oil market last week amid multiplying signs of an imminent recession that would cut petroleum consumption.,https://www.reuters.com/markets/commodities/oil-investors-ready-recession-kemp-2022-10-03/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=114,2022-10-03T11:39:00Z,"LONDON, Oct 3 (Reuters) - Portfolio investors continued to flee from the oil market last week amid multiplying signs of an imminent recession that would cut petroleum consumption.
Hedge funds and ot… [+2607 chars]"
16,"{'id': 'reuters', 'name': 'Reuters'}",,Asian stocks retreat on global recession angst; dollar firm - Reuters,"Asian stocks declined on Friday, extending a global equity slide to a third day, as investors fretted over recession risks amid signs of further aggressive central bank policy tightening.",https://www.reuters.com/markets/europe/global-markets-wrapup-1-2022-10-07/,https://www.reuters.com/resizer/ShppV12UBPZWC1lAEJSxzAbweyk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RUI7LFZEUVKM7PXTMUMUNGMY5M.jpg,2022-10-07T02:05:00Z,"TOKYO, Oct 7 (Reuters) - Asian stocks declined on Friday, extending a global equity slide to a third day, as investors fretted over recession risks amid signs of further aggressive central bank polic… [+3624 chars]"
17,"{'id': 'reuters', 'name': 'Reuters'}",,European shares fall at open as recession risks weigh - Reuters,"European shares fell on Friday, as recession warnings and bets of a large interest rate hike from the U.S. Federal Reserve next week knocked down sentiment.",https://www.reuters.com/markets/europe/european-shares-fall-open-recession-risks-weigh-2022-09-16/,https://www.reuters.com/resizer/UECcQMMznfa4ndakNEswqOsVfu0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5B3R7LND7NLHFFJNHJJ7SRQWTU.jpg,2022-09-16T07:26:00Z,"Sept 16 (Reuters) - European shares fell on Friday, as recession warnings and bets of a large interest rate hike from the U.S. Federal Reserve next week knocked down sentiment.
The continent-wide ST… [+1124 chars]"
18,"{'id': 'reuters', 'name': 'Reuters'}",,"France is not falling into recession, Le Maire says - Reuters",French Finance Minister Bruno Le Maire said on Wednesday that the economy was not facing recession after the government lowered its economic outlook for 2023.,https://www.reuters.com/markets/europe/france-is-not-falling-into-recession-le-maire-says-2022-09-14/,https://www.reuters.com/resizer/vcvBoP-r7_izygn8RhhtJoFDsHA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QTHEJMAY5FKPXNDZU4IZATLEAM.jpg,2022-09-14T07:14:00Z,"PARIS, Sept 14 (Reuters) - French Finance Minister Bruno Le Maire said on Wednesday that the economy was not facing recession after the government lowered its economic outlook for 2023.
Le Maire als… [+1218 chars]"
19,"{'id': 'reuters', 'name': 'Reuters'}",,Druckenmiller sees US falling into recession next year - Reuters.com,Billionaire investor Stanley Druckenmiller said he believes the Federal Reserve’s monetary policy tightening may push the U.S. into a bigger-than-expected recession next year.,https://www.reuters.com/business/finance/druckenmiller-sees-us-falling-into-recession-next-year-2022-09-28/,https://www.reuters.com/resizer/Ls_d8SgCtP3hceb86wcUcaL8sIE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NJAKSAAMSFMEFAYGNHG2LJLS6A.jpg,2022-09-28T16:13:00Z,"Sept 28 (Reuters) - Billionaire investor Stanley Druckenmiller said he believes the Federal Reserves monetary policy tightening may push the U.S. into a bigger-than-expected recession next year.
Spe… [+1168 chars]"
20,"{'id': 'reuters', 'name': 'Reuters'}",,Saudi leads Gulf bourses lower on recession worries - Reuters,"Saudi Arabia's stock market tumbled on Sunday, leading declines across Middle East, in response to Friday's fall in energy prices and on fears that aggressive interest rate hikes by major central banks to tame inflation could cause a global recession.",https://www.reuters.com/markets/asia/saudi-leads-gulf-bourses-lower-recession-worries-2022-09-25/,https://www.reuters.com/resizer/NB58J8lu0yulSdWCM3Ud9Zo07uY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2Z4FHOLK5NN6VDQOK3SFXTSSR4.jpg,2022-09-25T13:16:00Z,"Sept 25 (Reuters) - Saudi Arabia's stock market tumbled on Sunday, leading declines across Middle East, in response to Friday's fall in energy prices and on fears that aggressive interest rate hikes … [+2086 chars]"
21,"{'id': 'reuters', 'name': 'Reuters'}",,European stock index futures fall on mounting recession worries - Reuters,"European stock index futures fell on Wednesday, in line with a sell-off in Asian markets, as a relentless surge in global bond yields and an intensifying energy crisis in the region fuelled worries about a recession.",https://www.reuters.com/markets/europe/european-stock-index-futures-fall-mounting-recession-worries-2022-09-28/,https://www.reuters.com/resizer/lk_Qetmmg5PpBgGSC3Jeo9_U4HY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LQESU2CWJVMV7A4CKS2JKG7QJU.jpg,2022-09-28T06:28:00Z,"Sept 28 (Reuters) - European stock index futures fell on Wednesday, in line with a sell-off in Asian markets, as a relentless surge in global bond yields and an intensifying energy crisis in the regi… [+1311 chars]"
22,"{'id': 'reuters', 'name': 'Reuters'}",,"Futures shackled by rate-hike, recession worries - Reuters","U.S. stock index futures fell on Monday, kicking off another week on softer footing, as investors worried that the Federal Reserve's aggressive push to curb inflation may tip the American economy into recession.",https://www.reuters.com/markets/europe/futures-shackled-by-rate-hike-recession-worries-2022-09-26/,https://www.reuters.com/resizer/XTnyrdDS-dsDiSl6qAJh9f_ph8g=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OMPB6PNEDFPEBHRD4ST2RBWIBI.jpg,2022-09-26T11:09:00Z,"Sept 26 (Reuters) - U.S. stock index futures fell on Monday, kicking off another week on softer footing, as investors worried that the Federal Reserve's aggressive push to curb inflation may tip the … [+2140 chars]"
23,"{'id': 'reuters', 'name': 'Reuters'}",,"German economic institutes slash forecasts, see 2023 recession - Handelsblatt - Reuters","Germany's four leading economic institutes have slashed their forecasts for this year and next and now expect Europe's largest economy to slip into recession in 2023, the Handelsblatt daily reported on Monday.",https://www.reuters.com/markets/europe/german-economic-institutes-slash-forecasts-see-2023-recession-handelsblatt-2022-09-26/,https://www.reuters.com/resizer/pgIHjzImDug-6DyZafMsmZUCMJE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XAGYZGSQSJNMRETYMLDFNEVFSA.jpg,2022-09-26T12:39:00Z,"BERLIN, Sept 26 (Reuters) - Germany's four leading economic institutes have slashed their forecasts for this year and next and now expect Europe's largest economy to slip into recession in 2023, the … [+464 chars]"
24,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,UK nears recession; BoE denies bond buy extension - Reuters.com,"New data Wednesday showed the UK on the brink of recession. Meanwhile, the Bank of England moved to quash speculation it would extend emergency bond buying intended to calm a rout on debt markets. Julian Satterthwaite reports.",https://www.reuters.com/video/watch/idOV172112102022RP1,https://static.reuters.com/resources/r/?d=20221012&i=OV172112102022RP1&r=OV172112102022RP1&t=2,2022-10-12T15:19:21Z,"Posted 
New data Wednesday showed the UK on the brink of recession. Meanwhile, the Bank of England moved to quash speculation it would extend emergency bond buying intended to calm a rout on debt ma… [+35 chars]"
25,"{'id': 'reuters', 'name': 'Reuters'}",,TSX slides to mid-July lows on recession fears - Reuters,"Canada's main stock index slid more than 2% on Tuesday, tracking a fall in global markets as worries about a global recession unnerved investors returning from a long weekend, with energy, technology and financial stocks among to big losers.",https://www.reuters.com/markets/europe/tsx-slides-mid-july-lows-recession-fears-2022-10-11/,https://www.reuters.com/resizer/W-zB51N1c4IOVuxBeMa373uTOvM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/WDPD2PWZAZMOHAS5IZID3HPDJY.jpg,2022-10-11T14:40:00Z,"Oct 11 (Reuters) - Canada's main stock index slid more than 2% on Tuesday, tracking a fall in global markets as worries about a global recession unnerved investors returning from a long weekend, with… [+2015 chars]"
26,"{'id': 'reuters', 'name': 'Reuters'}",,"Indian shares fall as IT, automobile decline - Reuters","Indian shares were lower in early trade on Friday, dragged by losses in technology and automobile stocks amid a broader weak sentiment over concerns of a global recession.",https://www.reuters.com/markets/europe/indian-shares-fall-it-automobile-decline-2022-09-16/,https://www.reuters.com/resizer/6TOo7TMpxwzZEbnUxVNIl9WbAis=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LIL2SQSVBBI4ZBXK33B6KNJSB4.jpg,2022-09-16T04:15:00Z,"BENGALURU, Sept 16 (Reuters) - Indian shares were lower in early trade on Friday, dragged by losses in technology and automobile stocks amid a broader weak sentiment over concerns of a global recessi… [+1016 chars]"
27,"{'id': 'reuters', 'name': 'Reuters'}",,Euro zone retail sales fall as expected in August - Reuters,"Euro zone retail sales fell in August, data showed on Thursday, pointing to a weakness in consumer demand and underlining expectations of an approaching recession.",https://www.reuters.com/markets/europe/euro-zone-retail-sales-fall-expected-august-2022-10-06/,https://www.reuters.com/resizer/KA0k8IGgsAx8UWMJqIty18OcG7A=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OGFFBAECGZKWVH3FKJDQVCWBAY.jpg,2022-10-06T09:13:00Z,"BRUSSELS, Oct 6 (Reuters) - Euro zone retail sales fell in August, data showed on Thursday, pointing to a weakness in consumer demand and underlining expectations of an approaching recession.
The Eu… [+1084 chars]"
28,"{'id': 'reuters', 'name': 'Reuters'}",,"Finland cuts 2023 GDP growth forecast, sees risk of recession - Reuters",Finland's finance ministry on Monday cut its economic growth forecast for 2023 and said the country was at risk of a recession.,https://www.reuters.com/markets/europe/finland-cuts-2023-gdp-growth-forecast-sees-risk-recession-2022-09-19/,https://www.reuters.com/resizer/7bG-sLmRhDCaOIXzIEbIqPCLTA8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ODITHIEUMZJMJH2FR5P5P7YZVI.jpg,2022-09-19T08:11:00Z,"HELSINKI, Sept 19 (Reuters) - Finland's finance ministry on Monday cut its economic growth forecast for 2023 and said the country was at risk of a recession.
The ministry now predicts gross domestic… [+783 chars]"
29,"{'id': 'reuters', 'name': 'Reuters'}",,Column: Hedge funds dump distillates as recession risks intensify: Kemp - Reuters,"Portfolio investors anticipate an imminent recession that will hit consumption of middle distillates such as diesel especially hard, based on recent position changes in futures and options markets.",https://www.reuters.com/markets/commodities/hedge-funds-dump-distillates-recession-risks-intensify-kemp-2022-09-26/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=111,2022-09-26T11:54:00Z,"LONDON, Sept 26 (Reuters) - Portfolio investors anticipate an imminent recession that will hit consumption of middle distillates such as diesel especially hard, based on recent position changes in fu… [+2626 chars]"
30,"{'id': 'reuters', 'name': 'Reuters'}",,U.S. leading indicator falls for sixth consecutive month in August - Reuters,"A gauge of future U.S. economic activity declined for a sixth straight month in August, potentially signaling a recession amid large interest rate increases from the Federal Reserve.",https://www.reuters.com/markets/us/us-leading-indicator-falls-sixth-consecutive-month-august-2022-09-22/,https://www.reuters.com/resizer/iGSxk9OE08JjDSCCCcOrnveYhoY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HJWVJUHNIZJVHBBFQ74Q56M2BY.jpg,2022-09-22T14:30:00Z,"WASHINGTON, Sept 22 (Reuters) - A gauge of future U.S. economic activity declined for a sixth straight month in August, potentially signaling a recession amid large interest rate increases from the F… [+1059 chars]"
31,"{'id': 'reuters', 'name': 'Reuters'}",,"Long outliers, even euro zone bond curves are inverting fast - Reuters.com","As central banks hike interest rates at a pace not seen in decades to control inflation, the alarm among bond investors over looming recession risks is spreading fast.",https://www.reuters.com/markets/europe/long-outliers-even-euro-zone-bond-curves-are-inverting-fast-2022-09-23/,https://www.reuters.com/resizer/o3UNQjeqdRGOXnkIqtRuY7EG614=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FZCQRGJLVFJ57ILQY7FKAUSSQU.jpg,2022-09-23T13:09:00Z,"Sept 23 (Reuters) - As central banks hike interest rates at a pace not seen in decades to control inflation, the alarm among bond investors over looming recession risks is spreading fast.
This week … [+4509 chars]"
32,"{'id': 'reuters', 'name': 'Reuters'}",,UN agency warns of recession linked to 'imprudent' policy decisions -report - Reuters,A U.N. agency warned on Monday of the risk of a monetary policy-induced global recession that would have especially serious consequences for developing countries.,https://www.reuters.com/markets/rates-bonds/un-agency-warns-recession-linked-imprudent-policy-decisions-report-2022-10-03/,https://www.reuters.com/resizer/93YZYX2FKninmn1C-z1CgIJ2vEg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QUVEDE7KLBPRLFM3RP3KTAWXBE.jpg,2022-10-03T15:05:00Z,"GENEVA, Oct 3 (Reuters) - A U.N. agency warned on Monday of the risk of a monetary policy-induced global recession that would have especially serious consequences for developing countries.
""Excessiv… [+1322 chars]"
33,"{'id': 'reuters', 'name': 'Reuters'}",,Euro zone industry output rose in August much faster than expected - Reuters,"Euro zone industrial production soared in August far beyond expectations as manufacturers boosted investment despite fears of an upcoming recession, official estimates showed on Wednesday.",https://www.reuters.com/markets/europe/euro-zone-industry-output-rose-august-much-faster-than-expected-2022-10-12/,https://www.reuters.com/resizer/mW2XRk60bwX4jpeAz56VceJDais=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/Y74H4BIHLJKFPKB36E2YULMGSQ.jpg,2022-10-12T09:11:00Z,"BRUSSELS, Oct 12 (Reuters) - Euro zone industrial production soared in August far beyond expectations as manufacturers boosted investment despite fears of an upcoming recession, official estimates sh… [+984 chars]"
34,"{'id': 'reuters', 'name': 'Reuters'}",,INDIA STOCKS Indian shares end near two-month lows on fears of global recession - Reuters.com,"Indian shares ended around two-month lows on Wednesday, with banks, energy and metal companies posting losses, as fears of a global recession dented risk sentiment.",https://www.reuters.com/markets/europe/india-stocks-indian-shares-end-near-two-month-lows-fears-global-recession-2022-09-28/,https://www.reuters.com/resizer/V0yhKDPZOemqkqRe998EVvNOsLA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3WPWBHSQKZJ4BFU2YCE7J5Q26Q.jpg,2022-09-28T10:44:00Z,"BENGALURU, Sept 28 (Reuters) - Indian shares ended around two-month lows on Wednesday, with banks, energy and metal companies posting losses, as fears of a global recession dented risk sentiment.
Th… [+2152 chars]"
35,"{'id': 'reuters', 'name': 'Reuters'}",,INDIA STOCKS Indian shares tipped to open lower as recession risks loom - Reuters,"Indian shares are expected to open lower on Wednesday, mirroring Asian peers, as risk aversion remained unabated on worries over a global recession.",https://www.reuters.com/markets/europe/india-stocks-indian-shares-tipped-open-lower-recession-risks-loom-2022-09-28/,https://www.reuters.com/resizer/V0yhKDPZOemqkqRe998EVvNOsLA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3WPWBHSQKZJ4BFU2YCE7J5Q26Q.jpg,2022-09-28T02:40:00Z,"BENGALURU, Sept 28 (Reuters) - Indian shares are expected to open lower on Wednesday, mirroring Asian peers, as risk aversion remained unabated on worries over a global recession.
India's NSE stock … [+2805 chars]"
36,"{'id': 'reuters', 'name': 'Reuters'}",,INDIA STOCKS Indian shares fall 1% as recession risks loom - Reuters,"Indian shares fell on Wednesday, dragged by banks and metal companies, as risk sentiment weakened over worries of a global recession.",https://www.reuters.com/markets/europe/india-stocks-indian-shares-fall-1-recession-risks-loom-2022-09-28/,https://www.reuters.com/resizer/V0yhKDPZOemqkqRe998EVvNOsLA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3WPWBHSQKZJ4BFU2YCE7J5Q26Q.jpg,2022-09-28T03:59:00Z,"BENGALURU, Sept 28 (Reuters) - Indian shares fell on Wednesday, dragged by banks and metal companies, as risk sentiment weakened over worries of a global recession.
The NSE Nifty 50 index (.NSEI) fe… [+1171 chars]"
37,"{'id': 'business-insider', 'name': 'Business Insider'}",tmohamed@businessinsider.com (Theron Mohamed),Ex-Treasury chief Larry Summers warns the Fed may need to hike rates above 5% to defeat inflation - and sees unemployment spiking to 6%,"The veteran economist predicted a painful US recession, slammed the British government, and issued a grim warning about global growth.",https://markets.businessinsider.com/news/stocks/larry-summers-federal-reserve-inflation-unemployment-interest-rates-recession-stagflation-2022-10,https://i.insider.com/5d493afe21214c09d761660b?width=1200&format=jpeg,2022-10-06T14:30:40Z,"The Federal Reserve may have to hike interest rates by more than it expects to conquer inflation, and the cost could be a painful spike in unemployment, Larry Summers has warned.
""We are unlikely to… [+2348 chars]"
